plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
132,4,22,18,IBR,5400000.0
84,2,14,12,IBR,11000000.0
36,0,6,6,IBR,5000000.0
36,0,3,3,IBR,3850000.0
12,0,1,1,IBR,32000000.0
66,7,11,4,IBR,15276000.0
36,0,6,6,IBR,15000000.0
78,8,13,5,IBR,6975000.0
60,0,10,10,IBR,21000000.0
36,0,6,6,IBR,10000000.0
72,4,24,20,IBR,9000000.0
36,2,6,4,IBR,16000000.0
36,0,6,6,IBR,12000000.0
36,0,6,6,IBR,3800000.0
96,2,16,14,IBR,20000000.0
36,0,6,6,IBR,8000000.0
132,8,22,14,IBR,14100000.0
60,2,10,8,IBR,10000000.0
84,2,14,12,IBR,20000000.0
101,8,17,9,DTF,12777895.0
12,0,1,1,IBR,4160000.0
36,0,6,6,IBR,3500000.0
72,2,12,10,IBR,30000000.0
132,6,22,16,IBR,12600000.0
84,0,14,14,IBR,18000000.0
36,0,6,6,IBR,5000000.0
72,0,12,12,IBR,25000000.0
132,8,22,14,IBR,5000000.0
76,8,13,5,IBR,20000000.0
46,4,8,4,DTF,8999030.0
95,10,16,6,DTF,10000000.0
60,0,10,10,IBR,10078000.0
144,6,24,18,IBR,7000000.0
36,0,6,6,IBR,1300000.0
94,10,16,6,IBR,2500000.0
72,2,12,10,DTF,12000000.0
36,3,6,3,IBR,3000000.0
23,0,2,2,DTF,4500000.0
60,0,10,10,IBR,5000000.0
6,0,1,1,DTF,1109336.0
72,2,12,10,IBR,12000000.0
24,0,4,4,IBR,3780000.0
84,2,14,12,IBR,20000000.0
84,2,14,12,IBR,8000000.0
63,6,11,5,IBR,11712000.0
81,9,14,5,IBR,4000000.0
84,2,14,12,IBR,11000000.0
96,2,16,14,IBR,10000000.0
84,2,14,12,IBR,10000000.0
84,2,14,12,IBR,16500000.0
36,0,6,6,IBR,12000000.0
60,1,10,9,IBR,20000000.0
36,0,36,36,IBR,4000000.0
120,8,20,12,IBR,18000000.0
36,0,6,6,IBR,4090000.0
24,0,24,24,IBR,5074970.0
80,9,14,5,IBR,4000000.0
10,0,1,1,IBR,16000000.0
60,0,10,10,IBR,20000000.0
60,0,20,20,IBR,12000000.0
85,9,15,6,IBR,20000000.0
36,0,6,6,IBR,3300000.0
6,0,1,1,IBR,150000000.0
84,2,14,12,IBR,20000000.0
36,0,6,6,IBR,3200000.0
91,9,15,6,IBR,15000000.0
24,1,2,1,IBR,22500000.0
36,0,6,6,IBR,3500000.0
72,2,12,10,IBR,11800000.0
96,2,16,14,IBR,4000000.0
36,0,6,6,IBR,7500000.0
89,9,15,6,IBR,10000000.0
36,0,3,3,IBR,2000000.0
48,2,8,6,IBR,6000000.0
36,0,3,3,IBR,3200000.0
120,2,20,18,IBR,25000000.0
36,0,6,6,IBR,10000000.0
72,2,12,10,IBR,23300000.0
18,1,3,2,IBR,8940487.0
120,6,20,14,IBR,20000000.0
24,0,4,4,IBR,3260000.0
11,0,1,1,IBR,1500000.0
36,0,6,6,IBR,9000000.0
36,0,36,36,IBR,10000000.0
36,0,6,6,IBR,10500000.0
36,0,6,6,IBR,6500000.0
60,2,10,8,IBR,24000000.0
62,7,11,4,IBR,11200000.0
84,2,14,12,IBR,10000000.0
18,0,3,3,IBR,3000000.0
12,0,1,1,IBR,20000000.0
36,0,6,6,IBR,2000000.0
19,0,18,18,IBR,1000000.0
72,2,12,10,IBR,30000000.0
68,6,13,7,IBR,2500000.0
98,9,16,7,IBR,20000000.0
32,1,6,5,IBR,14625000.0
60,0,10,10,IBR,10000000.0
70,8,12,4,IBR,12000000.0
10,0,1,1,IBR,12000000.0
72,0,12,12,IBR,12000000.0
60,4,10,6,IBR,6000000.0
60,0,10,10,IBR,10500000.0
60,0,10,10,IBR,12000000.0
36,0,6,6,IBR,15000000.0
36,0,6,6,IBR,4200000.0
84,2,14,12,IBR,8800000.0
72,0,12,12,IBR,13000000.0
59,5,9,4,IBR,2700000.0
72,2,12,10,IBR,25000000.0
59,5,9,4,IBR,15000000.0
96,2,16,14,IBR,12000000.0
84,0,14,14,IBR,20000000.0
60,2,11,9,IBR,10000000.0
8,0,1,1,IBR,47300000.0
15,0,1,1,IBR,3500000.0
10,0,1,1,IBR,20000000.0
81,8,13,5,IBR,8000000.0
24,2,4,2,IBR,21000000.0
72,2,12,10,IBR,10000000.0
48,2,8,6,IBR,10000000.0
36,0,6,6,IBR,11000000.0
36,3,6,3,IBR,2750000.0
84,2,14,12,IBR,12000000.0
84,2,14,12,IBR,16000000.0
72,4,24,20,IBR,10000000.0
60,0,10,10,IBR,5000000.0
84,2,14,12,IBR,14500000.0
96,2,16,14,IBR,15000000.0
36,0,6,6,IBR,3000000.0
58,0,10,10,IBR,2700000.0
72,4,24,20,IBR,20000000.0
60,0,10,10,IBR,14000000.0
22,3,4,1,DTF,4734699.0
